"real","n_retained","statistic","scored"
227,13,0.525437865484459,TRUE
228,3,NA,FALSE
229,9,0.226867307421998,TRUE
230,9,0.603357311827295,TRUE
231,8,0.639085505123106,TRUE
232,13,0.575450201060852,TRUE
233,9,0.6155995713853,TRUE
234,9,0.408183759107581,TRUE
235,8,0.430895142526543,TRUE
236,9,0.597229754027852,TRUE
237,6,0.687202166016612,TRUE
238,10,0.348322217844165,TRUE
239,5,0.524526286144274,TRUE
240,9,0.600319317359807,TRUE
241,7,0.368238510356705,TRUE
242,12,0.756885393918447,TRUE
243,7,0.481954768891396,TRUE
244,12,0.434577813582885,TRUE
245,10,0.389197069471528,TRUE
246,12,0.502167540368097,TRUE
247,10,0.292022554561096,TRUE
248,7,0.593314884561388,TRUE
249,12,0.670291817364022,TRUE
250,10,0.377112092406975,TRUE
251,5,0.407082445045509,TRUE
252,9,0.542184567857635,TRUE
253,8,0.412993456215631,TRUE
254,12,0.405375536909009,TRUE
255,9,0.559024915567911,TRUE
256,10,0.655722465083953,TRUE
257,12,0.335768392478987,TRUE
258,13,0.556823200642503,TRUE
259,10,0.284281107276681,TRUE
260,9,0.479804817748218,TRUE
261,12,0.434406909322091,TRUE
262,8,0.491715129697121,TRUE
263,10,0.475477838264096,TRUE
264,9,0.60526090665148,TRUE
265,9,0.805573931758053,TRUE
266,14,0.429079298756385,TRUE
267,5,0.266296776088828,TRUE
268,14,0.504122763659233,TRUE
269,12,0.695710102800332,TRUE
270,7,0.472661407778426,TRUE
271,14,0.583064525408429,TRUE
272,9,0.322106006565416,TRUE
273,11,0.558518247771813,TRUE
274,11,0.558799553745673,TRUE
275,11,0.477123766708933,TRUE
276,10,0.493393625682242,TRUE
277,15,0.542453406216085,TRUE
278,6,0.656570059322572,TRUE
279,6,0.580499294442586,TRUE
280,9,0.477892754545524,TRUE
281,4,NA,FALSE
282,13,0.344832638300265,TRUE
283,5,0.433141238731126,TRUE
284,11,0.415678274943374,TRUE
285,12,0.463459232253554,TRUE
286,13,0.579777302800824,TRUE
287,11,0.466776306783033,TRUE
288,8,0.394588545644487,TRUE
289,11,0.483085083301399,TRUE
290,7,0.549181909617815,TRUE
291,15,0.422089677187688,TRUE
292,10,0.276633183181456,TRUE
293,12,0.567277921142011,TRUE
294,9,0.564272373383495,TRUE
295,9,0.57256288259439,TRUE
296,9,0.477482394406056,TRUE
297,8,0.407019618260653,TRUE
298,7,0.262432916409925,TRUE
299,15,0.501811286529399,TRUE
300,5,0.602121859873139,TRUE
301,6,0.531917765470746,TRUE
302,13,0.62447626960598,TRUE
303,9,0.525635998302353,TRUE
304,10,0.436491745586452,TRUE
305,9,0.487644167459317,TRUE
306,10,0.642765411728934,TRUE
307,7,0.434038750994378,TRUE
308,15,0.617049157653566,TRUE
309,12,0.624996346407546,TRUE
310,8,0.564926787893994,TRUE
311,11,0.481671315216311,TRUE
