"real","City","SMA","Level","Offset","AICc","BIC","RMSE","DevianceExplained","DevExact","SampleSize","ResidualShapiroWilkTest","ACFResidual","perm"
10,"Ajax","7d","Elementary",-5,-103.41,-102.75,0.912059199241684,0.68,0.684225535080922,17,0.0909,0.398099367902312,"Ajax|Elementary|7d"
10,"Pickering","1d","Secondary",0,-149.43,-146.85,0.846992498806717,0.37,0.370793283503345,24,0.5124,0.0061205673173604,"Pickering|Secondary|1d"
10,"Ajax","3d","Secondary",-1,-105.1,-109.22,0.464623434938153,0.8,0.797302579712333,16,0.4851,0.231456677848027,"Ajax|Secondary|3d"
10,"Ajax","7d","Secondary",0,-138.71,-138.54,0.310966212203645,0.69,0.693535232356226,17,0.1058,0.205419335222493,"Ajax|Secondary|7d"
10,"Pickering","1d","Total",1,-145.87,-144.25,0.986357412304364,0.79,0.789324672364604,26,0.1703,0.0540008671326055,"Pickering|Total|1d"
10,"Ajax","3d","Total",6,-96.3,-97.98,0.770484637831038,0.84,0.83912268802253,16,0.4439,-0.0047240606290368,"Ajax|Total|3d"
10,"Ajax","7d","Total",-3,-107.32,-106.67,0.858301517235484,0.75,0.751145063642063,17,0.07,0.299344149114769,"Ajax|Total|7d"
11,"Pickering","1d","Elementary",1,-127.05,-123.41,1.76008274699506,0.53,0.526607368178427,27,0.9635,0.245381988563098,"Pickering|Elementary|1d"
11,"Ajax","1d","Elementary",-6,-67.57,-69.62,2.02259323604223,0.46,0.46205796717628,17,0.6673,0.298751636901857,"Ajax|Elementary|1d"
11,"Pickering","1d","Secondary",7,-156.85,-154.81,0.58185981903803,0.76,0.760769658371271,23,0.3951,-0.157611873694528,"Pickering|Secondary|1d"
11,"Ajax","1d","Secondary",-6,-101.1,-103.75,0.686955729150869,0.75,0.745393595524489,17,0.3343,0.256343314739455,"Ajax|Secondary|1d"
11,"Ajax","5d","Secondary",-3,-198.54,-193.3,0.783987392593716,0.8,0.79562532711918,33,0.9091,0.354886483151201,"Ajax|Secondary|5d"
11,"Pickering","1d","Total",1,-139.46,-135.82,1.4356141397815,0.5,0.502396293969038,27,0.9933,0.276210053926602,"Pickering|Total|1d"
11,"Ajax","1d","Total",-6,-78.07,-82.6,1.2448044966901,0.68,0.678686447164396,17,0.9711,0.205673737504341,"Ajax|Total|1d"
12,"Pickering","1d","Elementary",0,-97.75,-95.79,2.16106644997781,0.31,0.30874441374476,22,0.2399,0.395352116259434,"Pickering|Elementary|1d"
12,"Ajax","5d","Elementary",3,-234.15,-222.42,1.3048647575849,0.64,0.635316499820541,45,0.1179,0.366285454956825,"Ajax|Elementary|5d"
12,"Ajax","7d","Elementary",6,-206.52,-200.52,0.748373212016309,0.89,0.893709486155469,33,0.3512,0.217824230036643,"Ajax|Elementary|7d"
12,"Pickering","1d","Secondary",1,-164.43,-160.44,0.951511680080791,0.36,0.363977258986872,28,0.9285,0.285350172706013,"Pickering|Secondary|1d"
12,"Ajax","3d","Secondary",-5,-266.97,-258.73,0.895087368234964,0.63,0.633334947088149,43,0.8279,0.266134748300031,"Ajax|Secondary|3d"
12,"Ajax","5d","Secondary",0,-289.4,-277.49,0.668584365961368,0.72,0.718741030677784,45,0.0776,0.395403723969952,"Ajax|Secondary|5d"
12,"Pickering","7d","Secondary",3,-596.74,-561.9,0.446898503942674,0.8,0.795322060807659,82,0.7858,0.364261774541068,"Pickering|Secondary|7d"
12,"Ajax","7d","Secondary",5,-216.36,-209.58,0.867566003581507,0.7,0.696898730561166,35,0.076,0.370048256892015,"Ajax|Secondary|7d"
12,"Pickering","1d","Total",2,-97.51,-99.57,1.23374757177509,0.61,0.605720538151137,20,0.6359,0.26209387592349,"Pickering|Total|1d"
12,"Ajax","7d","Total",6,-221.62,-215.67,0.588926346840674,0.91,0.910568615177954,33,0.7281,-0.0164286993478513,"Ajax|Total|7d"
13,"Pickering","1d","Elementary",-1,-95.03,-94.53,1.66332568105065,0.46,0.46230125061213,21,0.8653,0.277053659129782,"Pickering|Elementary|1d"
13,"Ajax","1d","Elementary",-6,-53.73,-59.07,1.60340038172284,0.72,0.724968062418418,13,0.4657,-0.106678310091966,"Ajax|Elementary|1d"
13,"Ajax","5d","Elementary",3,-197.13,-189.54,1.08497392672292,0.78,0.783319978864504,37,0.2924,0.123728164615,"Ajax|Elementary|5d"
13,"Pickering","1d","Secondary",-6,-140.36,-138.04,0.877094764946259,0.46,0.458734309936994,23,0.5307,0.307982064725937,"Pickering|Secondary|1d"
13,"Ajax","1d","Secondary",-6,-73.39,-76.11,0.84537719169584,0.67,0.666339064971935,13,0.4944,0.09111687063479,"Ajax|Secondary|1d"
13,"Ajax","3d","Secondary",-5,-275.7,-269.45,0.515417069942671,0.87,0.874744711318996,43,0.3547,0.234839717482814,"Ajax|Secondary|3d"
13,"Pickering","1d","Total",-1,-98.81,-98.73,1.35847365967536,0.39,0.393988246502261,20,0.6201,0.384056154651941,"Pickering|Total|1d"
13,"Ajax","1d","Total",-6,-58.26,-64.98,1.17334763449765,0.75,0.751001120954699,13,0.0975,-0.133475108850694,"Ajax|Total|1d"
13,"Pickering","5d","Total",7,-484.89,-458.89,0.733122821482852,0.85,0.852527112382388,75,0.9124,0.382411196905214,"Pickering|Total|5d"
13,"Ajax","5d","Total",4,-209.52,-202.44,0.875031942014237,0.8,0.801893091883147,37,0.4289,0.134625247165996,"Ajax|Total|5d"
14,"Pickering","1d","Elementary",7,-105.21,-104.78,1.46021533954531,0.68,0.67979748383372,22,0.7015,0.115863620019884,"Pickering|Elementary|1d"
14,"Ajax","1d","Elementary",-6,-73.4,-72.59,2.37467052760902,0,0.00370672941391383,17,0.3116,0.278499836020242,"Ajax|Elementary|1d"
14,"Ajax","3d","Elementary",-5,-118.44,-118.15,0.849566884251769,0.74,0.738408401012696,20,0.2289,0.141841764150919,"Ajax|Elementary|3d"
14,"Pickering","1d","Secondary",1,-176.33,-171.96,0.878872772135467,0.48,0.475470780036646,29,0.7306,0.0813944566170854,"Pickering|Secondary|1d"
14,"Ajax","1d","Secondary",-6,-99.69,-99.61,0.924178131953628,0.47,0.467164240844751,17,0.3455,0.241535797833595,"Ajax|Secondary|1d"
14,"Ajax","3d","Secondary",0,-141.79,-139.85,0.828863183554508,0.44,0.439683506490162,22,0.6095,0.369300452679489,"Ajax|Secondary|3d"
14,"Pickering","1d","Total",5,-84.41,-90.96,0.740096813581138,0.82,0.815512243594297,16,0.0802,0.16268203251883,"Pickering|Total|1d"
14,"Ajax","1d","Total",-6,-80.43,-79.67,1.81460038596196,0.05,0.050699469078644,17,0.2045,0.276934602661662,"Ajax|Total|1d"
14,"Pickering","3d","Total",4,-378.09,-359.05,1.07397687084077,0.7,0.70264465471146,65,0.487,0.393299174708478,"Pickering|Total|3d"
14,"Ajax","3d","Total",-5,-124.15,-123.9,0.742472554746122,0.72,0.721763940768437,20,0.8899,0.236052077359301,"Ajax|Total|3d"
15,"Pickering","1d","Elementary",7,-95.44,-93.82,1.90968416252866,0.43,0.426108542125509,21,0.7495,0.367037004438707,"Pickering|Elementary|1d"
15,"Ajax","1d","Elementary",-6,-69.15,-76.71,0.588365558477365,0.96,0.964066461046963,12,0.9602,-0.0181005265250425,"Ajax|Elementary|1d"
15,"Ajax","3d","Elementary",7,-109.8,-109.29,0.975511273823138,0.74,0.741296727845258,19,0.9723,0.285052001878976,"Ajax|Elementary|3d"
15,"Ajax","7d","Elementary",2,-137.61,-136.05,1.06805753162895,0.83,0.831322637269402,26,0.292,0.284424284608341,"Ajax|Elementary|7d"
15,"Pickering","1d","Secondary",7,-133.92,-132.05,0.901894767477507,0.45,0.453469114669946,22,0.4382,0.273967260673902,"Pickering|Secondary|1d"
15,"Ajax","1d","Secondary",1,-54.45,-55.92,1.72824774915873,0.3,0.298298812199094,12,0.8688,0.321037316196544,"Ajax|Secondary|1d"
15,"Ajax","3d","Secondary",7,-138.19,-144.52,0.278542508361401,0.9,0.902573058000114,19,0.1365,0.198540198879688,"Ajax|Secondary|3d"
15,"Ajax","5d","Secondary",7,-129.82,-128.49,1.00699436416792,0.54,0.541459798221341,22,0.8719,0.357774212096549,"Ajax|Secondary|5d"
15,"Pickering","1d","Total",4,-92.02,-96.69,0.854506652603083,0.84,0.840783533999338,17,0.0527,0.246156266898162,"Pickering|Total|1d"
15,"Ajax","1d","Total",-6,-62.3,-69.79,0.799391397952468,0.9,0.900640201045394,12,0.4699,0.121234673022874,"Ajax|Total|1d"
15,"Ajax","3d","Total",6,-130.43,-129.51,0.579074668792922,0.88,0.880080794492697,19,0.1489,0.366919881978823,"Ajax|Total|3d"
15,"Ajax","7d","Total",2,-146.08,-144.46,0.924865378681646,0.82,0.819380230266898,26,0.4366,0.305350679983636,"Ajax|Total|7d"
16,"Pickering","1d","Elementary",6,-83.68,-85.06,1.70658198253366,0.6,0.599031696722848,20,0.8663,0.368839368389476,"Pickering|Elementary|1d"
16,"Pickering","1d","Secondary",-1,-130.4,-129.11,0.845350935012654,0,0.000869771374822144,20,0.8411,0.364744976169867,"Pickering|Secondary|1d"
16,"Ajax","1d","Secondary",-6,-74.19,-76.45,1.03486564438986,0.5,0.498271142248639,14,0.9541,0.357465171311927,"Ajax|Secondary|1d"
16,"Ajax","3d","Secondary",-6,-271.15,-264.52,0.922338007284862,0.54,0.53764834274487,43,0.6054,0.316771844295759,"Ajax|Secondary|3d"
16,"Pickering","1d","Total",7,-115.8,-115.82,1.10479957919303,0.68,0.676202644924806,22,0.6142,0.251412157837841,"Pickering|Total|1d"
16,"Ajax","1d","Total",-7,-58.97,-60.48,1.44615131036443,0.43,0.427345035133931,12,0.3586,0.312309138950838,"Ajax|Total|1d"
17,"Pickering","1d","Elementary",7,-102.95,-101.54,1.61450242250322,0.64,0.635132212507806,21,0.7759,0.342348317623842,"Pickering|Elementary|1d"
17,"Ajax","5d","Elementary",-6,-103.4,-105.16,0.793094149625119,0.8,0.795054700658561,17,0.0657,0.15787595901107,"Ajax|Elementary|5d"
17,"Pickering","1d","Secondary",1,-166.53,-162.98,1.00553087242878,0.3,0.30295813037937,28,0.8164,0.318370655238123,"Pickering|Secondary|1d"
17,"Pickering","3d","Secondary",-6,-439.3,-429.07,0.644009319532024,0.63,0.62902147023993,62,0.9331,0.395712184903921,"Pickering|Secondary|3d"
17,"Ajax","5d","Secondary",-3,-116.02,-119.31,0.440854405345794,0.85,0.847897805101591,17,0.4365,0.268750486441839,"Ajax|Secondary|5d"
17,"Pickering","1d","Total",1,-133.28,-129.99,1.48547318885666,0.49,0.493853202508669,26,0.6387,0.377715644029914,"Pickering|Total|1d"
17,"Ajax","5d","Total",-7,-117.92,-119.03,0.53018204620339,0.88,0.880812372406907,17,0.1138,-0.305601906270318,"Ajax|Total|5d"
18,"Pickering","1d","Elementary",7,-104.27,-102.86,1.58486037336603,0.66,0.661778420410312,21,0.6925,0.330805241753284,"Pickering|Elementary|1d"
18,"Ajax","3d","Elementary",1,-152.07,-146.93,1.58853317723147,0.64,0.637306325142502,31,0.9999,0.322552667767516,"Ajax|Elementary|3d"
18,"Ajax","5d","Elementary",7,-89.95,-94.2,0.521326363008064,0.91,0.914800458369778,14,0.9878,0.147527806913631,"Ajax|Elementary|5d"
18,"Pickering","1d","Secondary",1,-159.96,-156.59,1.13841794283338,0.08,0.0822567186338452,28,0.3141,0.320837857318923,"Pickering|Secondary|1d"
18,"Ajax","3d","Secondary",-5,-191.62,-187.25,0.676604007649385,0.63,0.626266574642458,29,0.4954,0.333979216254215,"Ajax|Secondary|3d"
18,"Ajax","5d","Secondary",-4,-167.22,-170.3,0.127669076335713,0.69,0.686826435197069,18,0.1928,0.309711757257317,"Ajax|Secondary|5d"
18,"Pickering","1d","Total",6,-92.54,-93.76,1.30655836149094,0.62,0.623369593387414,19,0.4765,0.0609438303774521,"Pickering|Total|1d"
18,"Ajax","3d","Total",1,-168.85,-163.67,1.17497410485127,0.7,0.702559386578985,31,0.9946,0.380438014216055,"Ajax|Total|3d"
18,"Ajax","5d","Total",-4,-120.49,-125.74,0.398330920423386,0.79,0.789960230773919,18,0.5863,0.389435157412801,"Ajax|Total|5d"
19,"Pickering","1d","Elementary",7,-95.04,-93.91,1.86385874173588,0.5,0.504093672242347,21,0.1986,0.225985432368512,"Pickering|Elementary|1d"
19,"Ajax","1d","Elementary",-6,-57.68,-59.68,1.99011540328668,0.26,0.263304032688751,14,0.2531,0.109147078012932,"Ajax|Elementary|1d"
19,"Pickering","1d","Secondary",1,-163.75,-160.59,1.11187066185723,0.16,0.163307202987017,28,0.4549,0.214028643536539,"Pickering|Secondary|1d"
19,"Ajax","1d","Secondary",-6,-82.33,-84.55,0.79051480928296,0.6,0.603405896311269,14,0.935,0.247604541236294,"Ajax|Secondary|1d"
19,"Pickering","1d","Total",7,-112.38,-112.74,1.03331397170084,0.71,0.709006549047986,21,0.2243,0.260321365437569,"Pickering|Total|1d"
19,"Ajax","1d","Total",-6,-64.97,-67.71,1.40517691886757,0.41,0.407152101742575,14,0.6441,0.258492026607457,"Ajax|Total|1d"
19,"Ajax","7d","Total",-7,-186.56,-180.97,0.984035177440861,0.74,0.744394631005404,32,0.5693,0.399161063494183,"Ajax|Total|7d"
